1	2	3	4	5	6	7	8	9
-0.0599999987	0	0.5	0	0	0	1	0.00159999996	301
-0.0199999996	0	0.5	0	0	0	1	0.00159999996	300
1.01999998	0	0.5	0	0	0	1	0.00159999996	324
1.05999994	0	0.5	0	0	0	1	0.00159999996	323
1.10000002	0	0.5	0	0	0	1	0.00159999996	322
-0.100000001	0	0.540000021	0	0	0	1	0.00159999996	327
-0.0599999987	0	0.540000021	0	0	0	1	0.00159999996	326
-0.0199999996	0	0.540000021	0	0	0	1	0.00159999996	325
1.01999998	0	0.540000021	0	0	0	1	0.00159999996	349
1.05999994	0	0.540000021	0	0	0	1	0.00159999996	348
1.10000002	0	0.540000021	0	0	0	1	0.00159999996	347
-0.100000001	0	0.579999983	0	0	0	1	0.00159999996	352
-0.0599999987	0	0.579999983	0	0	0	1	0.00159999996	351
-0.0199999996	0	0.579999983	0	0	0	1	0.00159999996	350
1.01999998	0	0.579999983	0	0	0	1	0.00159999996	374
1.05999994	0	0.579999983	0	0	0	1	0.00159999996	373
1.10000002	0	0.579999983	0	0	0	1	0.00159999996	372
-0.100000001	0	0.620000005	0	0	0	1	0.00159999996	377
-0.0599999987	0	0.620000005	0	0	0	1	0.00159999996	376
-0.0199999996	0	0.620000005	0	0	0	1	0.00159999996	375
1.01999998	0	0.620000005	0	0	0	1	0.00159999996	399
1.05999994	0	0.620000005	0	0	0	1	0.00159999996	398
1.10000002	0	0.620000005	0	0	0	1	0.00159999996	397
-0.100000001	0	0.660000026	0	0	0	1	0.00159999996	402
-0.0599999987	0	0.660000026	0	0	0	1	0.00159999996	401
-0.0199999996	0	0.660000026	0	0	0	1	0.00159999996	400
1.01999998	0	0.660000026	0	0	0	1	0.00159999996	424
1.05999994	0	0.660000026	0	0	0	1	0.00159999996	423
1.10000002	0	0.660000026	0	0	0	1	0.00159999996	422
-0.100000001	0	0.699999988	0	0	0	1	0.00159999996	427
-0.0599999987	0	0.699999988	0	0	0	1	0.00159999996	426
-0.0199999996	0	0.699999988	0	0	0	1	0.00159999996	425
1.01999998	0	0.699999988	0	0	0	1	0.00159999996	449
1.05999994	0	0.699999988	0	0	0	1	0.00159999996	448
1.10000002	0	0.699999988	0	0	0	1	0.00159999996	447
-0.100000001	0	0.74000001	0	0	0	1	0.00159999996	452
-0.0599999987	0	0.74000001	0	0	0	1	0.00159999996	451
-0.0199999996	0	0.74000001	0	0	0	1	0.00159999996	450
1.01999998	0	0.74000001	0	0	0	1	0.00159999996	474
1.05999994	0	0.74000001	0	0	0	1	0.00159999996	473
1.10000002	0	0.74000001	0	0	0	1	0.00159999996	472
-0.100000001	0	0.779999971	0	0	0	1	0.00159999996	477
-0.0599999987	0	0.779999971	0	0	0	1	0.00159999996	476
-0.0199999996	0	0.779999971	0	0	0	1	0.00159999996	475
1.01999998	0	0.779999971	0	0	0	1	0.00159999996	499
1.05999994	0	0.779999971	0	0	0	1	0.00159999996	498
1.10000002	0	0.779999971	0	0	0	1	0.00159999996	497
-0.100000001	0	0.819999993	0	0	0	1	0.00159999996	502
-0.0599999987	0	0.819999993	0	0	0	1	0.00159999996	501
-0.0199999996	0	0.819999993	0	0	0	1	0.00159999996	500
1.01999998	0	0.819999993	0	0	0	1	0.00159999996	524
1.05999994	0	0.819999993	0	0	0	1	0.00159999996	523
1.10000002	0	0.819999993	0	0	0	1	0.00159999996	522
-0.100000001	0	0.860000014	0	0	0	1	0.00159999996	527
-0.0599999987	0	0.860000014	0	0	0	1	0.00159999996	526
-0.0199999996	0	0.860000014	0	0	0	1	0.00159999996	525
1.01999998	0	0.860000014	0	0	0	1	0.00159999996	549
1.05999994	0	0.860000014	0	0	0	1	0.00159999996	548
1.10000002	0	0.860000014	0	0	0	1	0.00159999996	547
-0.100000001	0	0.899999976	0	0	0	1	0.00159999996	552
-0.0599999987	0	0.899999976	0	0	0	1	0.00159999996	551
